STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",11/15/2020,0,82,50
USW00023183,"PHOENIX AIRPORT, AZ US",11/16/2020,0,92,54
USW00023183,"PHOENIX AIRPORT, AZ US",11/17/2020,0,92,61
USW00023183,"PHOENIX AIRPORT, AZ US",11/18/2020,0,89,61
USW00023183,"PHOENIX AIRPORT, AZ US",11/19/2020,0,87,60
USW00023183,"PHOENIX AIRPORT, AZ US",11/20/2020,0,87,59
USW00023183,"PHOENIX AIRPORT, AZ US",11/21/2020,0,85,61
USW00023183,"PHOENIX AIRPORT, AZ US",11/22/2020,0,84,60
USW00023183,"PHOENIX AIRPORT, AZ US",11/23/2020,0,80,58
USW00023183,"PHOENIX AIRPORT, AZ US",11/24/2020,0,72,53
USW00023183,"PHOENIX AIRPORT, AZ US",11/25/2020,0,72,48
USW00023183,"PHOENIX AIRPORT, AZ US",11/26/2020,0,72,45
USW00023183,"PHOENIX AIRPORT, AZ US",11/27/2020,0,65,47
USW00023183,"PHOENIX AIRPORT, AZ US",11/28/2020,0,71,44
USW00023183,"PHOENIX AIRPORT, AZ US",11/29/2020,0,73,44
USW00023183,"PHOENIX AIRPORT, AZ US",11/30/2020,0,74,49
USW00023183,"PHOENIX AIRPORT, AZ US",12/1/2020,0,71,45
USW00023183,"PHOENIX AIRPORT, AZ US",12/2/2020,0,69,44
USW00023183,"PHOENIX AIRPORT, AZ US",12/3/2020,0,66,48
USW00023183,"PHOENIX AIRPORT, AZ US",12/4/2020,0,68,41
USW00023183,"PHOENIX AIRPORT, AZ US",12/5/2020,0,71,42
USW00023183,"PHOENIX AIRPORT, AZ US",12/6/2020,0,71,42
USW00023183,"PHOENIX AIRPORT, AZ US",12/7/2020,0,80,44
USW00023183,"PHOENIX AIRPORT, AZ US",12/8/2020,0,79,52
USW00023183,"PHOENIX AIRPORT, AZ US",12/9/2020,0.01,80,53
USW00023183,"PHOENIX AIRPORT, AZ US",12/10/2020,0.44,61,52
USW00023183,"PHOENIX AIRPORT, AZ US",12/11/2020,0,65,48
USW00023183,"PHOENIX AIRPORT, AZ US",12/12/2020,0,66,47
USW00023183,"PHOENIX AIRPORT, AZ US",12/13/2020,0,61,40
USW00023183,"PHOENIX AIRPORT, AZ US",12/14/2020,0,63,44
USW00023183,"PHOENIX AIRPORT, AZ US",12/15/2020,0,62,39
USW00023183,"PHOENIX AIRPORT, AZ US",12/16/2020,0,64,40
USW00023183,"PHOENIX AIRPORT, AZ US",12/17/2020,0,63,42
USW00023183,"PHOENIX AIRPORT, AZ US",12/18/2020,0,65,40
USW00023183,"PHOENIX AIRPORT, AZ US",12/19/2020,0,68,40
USW00023183,"PHOENIX AIRPORT, AZ US",12/20/2020,0,69,40
USW00023183,"PHOENIX AIRPORT, AZ US",12/21/2020,0,76,43
USW00023183,"PHOENIX AIRPORT, AZ US",12/22/2020,0,70,45
USW00023183,"PHOENIX AIRPORT, AZ US",12/23/2020,0,69,41
USW00023183,"PHOENIX AIRPORT, AZ US",12/24/2020,0,61,38
USW00023183,"PHOENIX AIRPORT, AZ US",12/25/2020,0,71,42
USW00023183,"PHOENIX AIRPORT, AZ US",12/26/2020,0,70,44
USW00023183,"PHOENIX AIRPORT, AZ US",12/27/2020,0,71,43
